id,title,artists,pp_artist,k16_cluster
1W6LjwKVIxnBtKQd0juwLq,Fu-Gee-La (feat. John Forté) - Refugee Camp Remix,"['Fugees', 'John Forte', 'Lapreem', 'Dirtyharry']",Fugees / John Forte / Lapreem / Dirtyharry,11
6kQ0p90x2OgwandZiLyR6I,Fu-Gee-La - Sly & Robbie Mix,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",Fugees / Ms. Lauryn Hill / Wyclef Jean / Pras,11
2LXtaBWlREPQ1LDGCQKpKP,Mista Mista,"['Fugees', 'Wyclef Jean']",Fugees / Wyclef Jean,7
4UDTrYv5vpFEzFDnU4sjSb,Fu-Gee-La (feat. John Forté) - Refugee Camp Global Mix,"['Fugees', 'John Forte', ""Jerry 'Te Bass' Duplessis"", 'Warren Riker']",Fugees / John Forte / Jerry 'Te Bass' Duplessis / Warren Riker,11
6MY1xABxoZATrEr4FeUhEM,Delicate,['Damien Rice'],Damien Rice,7
2euZEspBxYfpKoZVN1E386,Older Chests,['Damien Rice'],Damien Rice,7
5aYW9RJyVjqFlNHjlfL1Kw,Amie,['Damien Rice'],Damien Rice,1
44zGAo63hhc3xo0rlBweRo,Cheers Darlin',['Damien Rice'],Damien Rice,1
2mUNPeRl81MwJpy40yqjED,Cold Water,['Damien Rice'],Damien Rice,7
6C6H2lkwmb2F2eUHhnlNy5,I Remember,['Damien Rice'],Damien Rice,1
6Wkc6feqZPzPCdJVuJO7UE,Eskimo,['Damien Rice'],Damien Rice,1
5lgOUdoMBB3eZuSmc5HL4r,Losing a Whole Year,['Third Eye Blind'],Third Eye Blind,4
0DxirjMd0sE5C1annYHtt7,Narcolepsy,['Third Eye Blind'],Third Eye Blind,5
5HQGvCeyUbpRm0gQdP61pP,Thanks a Lot,['Third Eye Blind'],Third Eye Blind,5
6i8gUFwd6cFuC20Wz4wDPq,Burning Man,['Third Eye Blind'],Third Eye Blind,4
