id,title,artists,pp_artist,k16_cluster
2HUtNS9qtfgWbnaagK6AAe,Èkó,['Coldplay'],Coldplay,1
4Kwhm5VU4huxmQtBqd1AXo,Cry Cry Cry,['Coldplay'],Coldplay,1
00rgPsaLJHuq1Qm7sdMHOD,Giant Peach,['Wolf Alice'],Wolf Alice,14
5gOnivVq0hLxPvIPC00ZhF,Cosmic Dancer,['T. Rex'],T. Rex,4
3j3t6Rr05Ds9Qu6Oio0yFR,Infantile,['My Vitriol'],My Vitriol,3
3q1GWgWnNsp4FvZvJ00A23,The Slumbering Ones,['Assemble Head In Sunburst Sound'],Assemble Head In Sunburst Sound,15
4whYKrpVKvvaucBF0vtPuQ,Shampoo Bottles,['Peach Pit'],Peach Pit,5
6d6IHbO4ifWdvpq41yWhGd,Goji Berry Sunset,['Jealous of the Birds'],Jealous of the Birds,7
0AT6wb7oZz3LghqxOEDzJs,Formulas and Frequencies,['Whirr'],Whirr,1
36y6Wzg9xKvByEsOEV3Kma,Home Is Where My Head Is,['Whirr'],Whirr,5
1Tr7e3ieztG87RTG3vGLp7,Tiderays,['Volcano Choir'],Volcano Choir,7
7ERTEbKKmy86k7qPQktpex,Acetate,['Volcano Choir'],Volcano Choir,0
2NJGAT43AvS7BQvn2017yS,Hey Moon,['John Maus'],John Maus,13
54ucfuN596MU25jQD3KjCL,Sober II (Melodrama),['Lorde'],Lorde,3
74fpNVAJrKGQuqHETi4WSt,Tennis Court,['Lorde'],Lorde,0
754xUHF7Cat8DUFSJBhnk5,Dayzed Inn Daydreams,['Ariel Pink'],Ariel Pink,14
5LEVjmo2QweDHc7k19aFcp,Listerine,['Dayglow'],Dayglow,13
5FGsZbvRZer28nY0cU82D7,Babys,['Bon Iver'],Bon Iver,10
6s9pyuGOhlSNoP7POZI8pn,Jell-o,['Ariel Pink'],Ariel Pink,11
13NOyCHI4AxpOwmtT40uik,Further Away,['Ben Howard'],Ben Howard,7
2rxjVleokWRNbYeivJUCgr,Make the First Move,['Kakkmaddafakka'],Kakkmaddafakka,2
2KMLGJ1mPfRE4GNdL92rl3,Toss A Coin To Your Witcher,"['Sonya Belousova', 'Giona Ostinelli', 'Joey Batey']",Sonya Belousova / Giona Ostinelli / Joey Batey,7
6tJ6jkPJTKEarwzoveoKk9,Blue Ribbon,['Remo Drive'],Remo Drive,0
2BlH4rNgJNTuURjKkSKnWz,Song of the Summer,['Remo Drive'],Remo Drive,6
