id,k16_cluster
0xexXKZ1CAIrNHhTUX5Qkh,3
6BbINUfGabVyiNFJpQXn3x,3
56sk7jBpZV0CD31G9hEU3b,6
7tCHpjktA50ihtkLz6bAnn,14
57Xjny5yNzAcsxnusKmAfA,13
3U5JVgI2x4rDyHGObzJfNf,6
4w1lzcaoZ1IC2K5TwjalRP,5
4UuHWIkAWnN176A2rx7YFB,0
6ECp64rv50XVz93WvxXMGF,2
37qI0mchgzUSeUhPiwUWPY,5
4HlFJV71xXKIGcU3kRyttv,2
2DlHlPMa4M17kufBvI2lEN,3
4Sfa7hdVkqlM8UW5LsSY3F,6
6IwKcFdiRQZOWeYNhUiWIv,3
4E6cwWJWZw2zWf7VFbH7wf,3
4r8lRYnoOGdEi6YyI5OC1o,2
3FtYbEfBqAlGO46NUDQSAt,0
3xkxcbnc7G3XYuZt6eUnI5,11
67D9O4Oau629qirRXtTWCS,6
23L5CiUhw2jV1OIMwthR3S,3
4Ce37cRWvM1vIGGynKcs22,0
4fIWvT19w9PR0VVBuPYpWA,6
4NTWZqvfQTlOMitlVn6tew,4
3zSCNTXI7Ed0PiidZVmzIe,0
4uhvMW7ly7tJil31YYscAN,0
46NDPN81vk91tunB9uIrw4,14
7FDV5ELOJHCGLe52AnttEd,4
2CpH1L4CUR47RARB3PgY1l,1
0g5EKLgdKvNlln7TNqBByK,5
7IzurnmQLvZmMDJcpITUyt,5
4KW1lqgSr8TKrvBII0Brf8,14
5iUQMwxUPdJBFeGkePtM66,2
0v9Wz8o0BT8DU38R4ddjeH,2
5sqHFfmw7MMc1L85BN8802,11
2nBI3iWLhupR7LyAJ5GGkE,14
46IdjlVO3EmaMqooXZ1Hcu,11
0D21XvHcVsIvJM6FcGY2BT,11
3SrUV8pxnW1QhMbbwegpwG,3
4s2BWgnSQ9NZiOQM4PP4HB,11
7qT7NUDywO7vNJNTNxqWiN,2
2c8sgbZoEanC3QyFNZxUcA,2
1py4qzrEEkOvU8uTHYLuOW,0
52hRcWmjRNFuVJv3Qi7EeF,11
0uuE2usj5bvRqfKlfOu1NZ,5
5uDASfU19gDxSjW8cnCaBp,6
3vZM2544ETmOCCHuBPZRzm,2
7lQ8MOhq6IN2w8EYcFNSUk,6
4eZDxVUfm37N7ncCi0t94Y,5
7j56HrjR9cGzvekvZY3Faz,6
2HNnYRJIlsM1JHn1Nq8qU7,5
4IChWtexBegNreTAIEH1cK,2
6WhzFzROw3aq3rPWjgYlxr,11
5ArQzSBevAdXTxRY6Ulhbq,2
45zvStEMsXp8z45OQRhWFJ,4
429IbFR4yp2J81CeTwF5iY,4
3l9CW99AHtExIRV4hW2N5m,4
1gGsNNUfvVMOv4llVMg8Vg,3
6j0teRL3WdExzqmy334sh5,11
74hpFi8WyIwFIPBUv0idC3,5
1jcSttQBrx05TkPgnB9vZl,11
4YIoQqE50AdyG4BQafCi3u,6
278Ao6KQDxWGGszv24uvhI,5
6He0K0vTMdPdbweh18nnrB,5
6Lhdcv9bpTp72n0K7V0UJa,13
3iyivv3HxJ9TEO7BDXKYxp,3
1za5fakUqxQMpaFvBT8UuO,6
46jLy47W8rkf8rEX04gMKB,3
0lYBSQXN6rCTvUZvg9S0lU,5
2IO7yf562c1zLzpanal1DT,2
6Xs7OKt6i0Ddq8B4M5Dgvr,3
7BKLCZ1jbUBVqRi2FVlTVw,6
1XSvndyw6uqVW1ekRZsJUp,0
4h0zU3O9R5xzuTmNO7dNDU,7
3gsCAGsWr6pUm1Vy7CPPob,7
5mPSyjLatqB00IkPqRlbTE,5
4dASQiO1Eoo3RJvt74FtXB,14
7KyTq7H5f3Oavmuo9TX6QK,2
2vYzrIsIWHGtFyNf57PPN1,2
5354TkqoLgY6C6wnf7dLYK,5
4roDTLs05yU9RpSBqwfKQ3,14
0QGc6iFNgFB8qM4ffK04MO,11
2eUOoOf6q0e9FIK01SJMjT,2
3ji3RdsWWyuuZyehLmYj0b,11
1lX67wYMXcGcV0vgQTRi1z,3
4RqvCIjiRyPmD6iP2Fxaak,11
2YK6tjyM4cthovn1idrvhb,11
1TkWsnheqK0gBtvh07BtNX,11
7MkysLvt3L8UFji2PceoFU,6
6Rb0ptOEjBjPPQUlQtQGbL,0
6Bjtr3tPdto5nyuLYf61sN,3
3cqZH3cqvfbV8wVbvHyPbG,11
6fwdbPMwP1zVStm8FybmkO,11
5TlAXiBCBwiQnIZUAA4Jkg,11
4SMx7LkOPBlTC5UfJl3zSe,11
6R0GRYk2vs2XuBVemYK5YZ,11
5uywMR3hTeVPoWaFDSliJb,3
0AxdJGlXJjEUsNONDuT2pe,2
7ghmZhLpmQe9nTluI1czmr,3
6cREm4bV7V79Yxdilx9HDo,14
476j7IDRIDRvv1Xu71EVc8,5
79d719EfQQZ7D7nYdgPGEe,2
0i5spxZKedPA2TgGuvJ3AL,3
3fH4KjXFYMmljxrcGrbPj9,0
5iwyLsQ5yjnCaRrJGyAPZM,7
03KVfflesQChtbVZsPYefn,2
367hDgmAz3JQUmXD4ukZ0I,3
1La2U7H6tppgK8KK86sH59,0
5vBuxtwitUimHR2gBOnJYR,5
2IGr3q6ljcpLvHDFLtI0yW,5
2ANLarE8yHVsLWW21nj79M,11
0B8QzDH7YWih85V5SEMnyJ,2
6BC5qv70s01qQpFyKSsuLV,2
5yuShbu70mtHXY0yLzCQLQ,5
6RJEdfCBmwSxUdW3pfWmvt,1
0ee8dp1FYqhN4X7GB1FVH6,0
4rMN8vnOmVvQSMkXp6OLfv,2
1oJFh04MxEmecGdJd8yPhu,4
1dTKLBrljnBfyuLL0Qbo4U,3
29TdG6iuPmFQqKBCSpDw3G,3
3gpr0nir2ctUJQ8M4zo36z,0
2yJ9GVCLMmzBBfQAnfzlwr,2
0B3LaidsxjnBTUlKgKQQe5,6
6aNwbCxOHhSSfD42CbZlQA,3
433P7tDcIAi6NLnf4Sh6tI,14
3aJkV6DUTSCqOwVwaBDG9B,11
0azC730Exh71aQlOt9Zj3y,3
5e574bhjycX1eH2l4Auage,11
698ItKASDavgwZ3WjaWjtz,4
0gb1J5UrTpzaU1s3nupgCd,2
1pjvlYOMIg1NhGQbM6iwrY,2
7vRriwrloYVaoAe3a9wJHe,7
0XN2BcoaKE4Z2hnq1ZeDY1,0
2lfPecqFbH8X4lHSpTxt8l,4
5masKPHeAOVNgxdLebIcK7,2
5Y1nDHK2sRssiODgho8uMn,9
27PmvZoffODNFW2p7ehZTQ,11
44TuSOP6xIAEeJmZsN3nXO,4
5NFYuqu8V6QXc6mzcLImd6,3
3V0PeMg2mhbYRtk9bioAwF,3
7zBPzAjKAqQpcv8F8GCq5s,11
1Jj6MF0xDOMA3Ut2Z368Bx,7
22HYEJveCvykVDHDiEEmjZ,5
5KQDGl3vAkNGyfvSbaW89E,0
4c0rkFPszqQTyC753tsCMU,2
3LI4MmibTkXH5cGpCGZgyw,5
1zi7xx7UVEFkmKfv06H8x0,0
23NWj2izXAJ4yL6Nah73wf,11
3TIGSAP7l8sIfRy9vf73aL,2
0RAXbA0EGydtxACuuTlUrl,6
6TaqooOXAEcijL6G1AWS2K,5
2hsza71y54ABzmabyNDtM4,2
76hfruVvmfQbw0eYn1nmeC,2
3jomjC6H7YQBRr2CHPtc4y,2
1i1fxkWeaMmKEB4T7zqbzK,4
0wdKiSBUT7aZkXUIdJWcwC,11
305WCRhhS10XUcH6AEwZk6,5
3iVcZ5G6tvkXZkZKlMpIUs,11
7pKfPomDEeI4TPT6EOYjn9,7
2ZRJRe82aZaVhOKKlbJr4v,11
57exrbwAqmn712QGaW1hB1,2
16JoRyQHA0LJYc4zJINsVW,11
3JOVTQ5h8HGFnDdp4VT3MP,7
2aBxt229cbLDOvtL7Xbb9x,5
7cdjzBIlIZ3sWX3AFD4yuk,2
69uxyAqqPIsUyTO8txoP2M,6
7ygpwy2qP3NbrxVkHvUhXY,4
50kpGaPAhYJ3sGmk6vplg0,11
6V68ItawQkQlZhYIf1S86C,5
2fh3bZ8jZhMxOcfESE9nQY,4
6od5hFv9IT5JHc7NEF9HRv,6
5vHLwhxxlGzmClMcxRRFPr,6
3pXF1nA74528Edde4of9CC,2
1KtVVUM6OkpyOsbVfbMybX,6
3RiPr603aXAoi4GHyXx0uy,3
0hy1SOTEn9ifXTzOwnCwEr,3
70eDxAyAraNTiD6lx2ZEnH,4
4IqXyCH75mW4dMDbHufqDX,3
664gdARxaClFsoF5SXKOws,5
